id;value;generic_emails;personal_emails;last_crawl;language;company_name;twitter;facebook;instagram;linkedin;youtube;phone_number;apple_app;google_play;country;state;categories;description;street;city;postcode;employees_count
853610;3m.com;46;104;2023-06-27;en;3M Medical;;;;3m;;+1 800 328 1667;;;US;;{manufacturing};;;;;72336
476394;53.com;27;1266;2023-06-27;en;Fifth Third Bank;;;fifththirdbank;fifth-third-bank;;+1 800 972 3030;;;US;;{finance};;;;;21790
8829;aa.com;227;523;2023-06-28;en;aa;;;;american-airlines;;+1 800 433 7300;;;UK;;{travel};;;;;57773
34212;abbott.com;357;1897;2023-06-27;en;Abbott;;abbott;abbottglobal;abbott-;;+1 224 667 6100;;play.google.com/store/apps/details?id=com.abbott.ardx.navica.consumer.prod;US;IL;{health};Abbott's life-changing technology helps people live fully and offers information, medicines and breakthroughs to help you manage your health.;100 Abbott Park;;60064;119435
38902;abbvie.com;168;850;2023-06-27;en;AbbVie;abbvie;abbvieglobal;abbvie;abbvie;abbvie;+1 800 254 0462;;;US;;{manufacturing};AbbVie pharmaceuticals combines advanced science with expertise to make strides in drug and treatment discovery, making a remarkable impact on people's lives;;;;51275
72693;abc.xyz;29;33;2023-05-02;en;Alphabet;;;;alphabet-inc;;+1 650 253 0000;;;US;CA;{industry};Alphabet Inc. is a holding company that gives ambitious projects the resources, freedom, and focus to make their ideas happen — and will be the parent company of Google, Nest, and other ventures. Alphabet supports and develops companies applying technology to the world’s biggest challenges.;1600 Amphitheatre Parkway;Mountain View;94043;1017
12390214;aboutschwab.com;0;0;2023-05-10;en;AboutSchwab;schwab4traders;;;;;+1 415 667 0820;;;US;CA;{finance};;;;;
89512;academy.com;27;131;2023-05-02;;Academy;;;;academy-sports-and-outdoor;;;;;;;{shopping};;;;;11219
7007650;activisionblizzard.com;8;3;2023-07-18;en;Activision Blizzard;;;;activision-blizzard;;+1 310 255 2152;;;US;CA;{art_and_entertainment};;2701 Olympic Boulevard;Santa Monica;90404;2127
86073;adm.com;85;533;2023-06-06;en;ADM;admupdates;;;adm;;+1 217 424 5200;;;US;IL;{manufacturing};;;;;24953
478;adobe.com;492;1915;2023-06-28;es;Adobe;adobe;adobe;adobe;adobe;;+1 888 649 2990;itunes.apple.com/app/adobe-experience-design/id1146597773;;DE;;{technology};Adobe is changing the world through digital experiences. We help our customers create, deliver and optimize content and applications.;;;;37600
11807;adp.com;151;957;2023-06-27;en;ADP;;;;adp;;+1 800 225 5237;;;US;NJ;{education_career};ADP offers industry-leading online payroll and HR solutions, plus tax, compliance, benefit administration and more.;1 ADP Boulevard;Roseland;7068;76754
153236;advanceautoparts.com;4;1;2023-06-26;en;Advance Auto Parts;;;;advance-auto-parts;;;;;;;{shopping};;;;;19368
68084;aecom.com;142;2484;2023-06-27;en;AECOM;aecom;aecomtechnologycorporation;aecom;aecom;aecomtechnologycorp;+1 213 593 8100;;;US;TX;{industry};;13355 Noel Rd;Dallas;75240;65621
65359;aep.com;46;587;2023-06-27;en;American Electric Power Co;aepnews;americanelectricpower;;american-electric-power;;+1 260 438 5426;;;US;OH;{industry};;1 Riverside Plaza;Ohio;43215;11330
539224;aes.com;66;391;2023-07-13;en;The AES Corporation;theaescorp;theaescorporation;theaescorp;aes;theaescorporation;+1 703 682 6399;;;US;VA;{industry};AES is a global energy company that creates greener, smarter and innovative energy solutions. Together, we can accelerate the future of energy.;4300 Wilson Boulevard;Arlington;22203;5326
12869928;afginc.com;0;0;2023-06-20;en;American Financial Group, Inc;;;;american-finacial-group;;+1 513 369 5000;;;US;;{finance};;;;;8
4049;aflac.com;30;183;2023-06-30;en;Aflac;;aflac.co.jp;aflacduck;aflac;;+1 855 782 5850;itunes.apple.com/app/id1289862640;play.google.com/store/apps/details?id=com.aflac.access;US;GA;{finance};Aflac provides supplemental insurance to help pay out-of-pocket expenses your major medical insurance doesn't cover. Get started with a quote today!;1932 Wynnton Road;Columbus;31999;18967
290823;agcocorp.com;72;449;2023-06-27;en;AGCO;;;;agco-corporation;;+1 770 813 9200;;;US;GA;{manufacturing};;4205 River;Duluth;30096;12090
73248;aig.com;487;2731;2023-06-27;en;AIG;;;aiginsurance;aig;aiginsurance;+1 800 225 5244;;;US;NY;{finance};American International Group, Inc, (AIG), is a global insurance organization providing a range of insurance and other financial services. Get to know us better.;175 Water Street;New York;10038;30343
35425;airproducts.com;53;454;2023-06-27;en;Air Products;;airproductscareers;;air-products;;+1 800 654 4567;;;US;PA;{manufacturing};Air Products provide essential industrial gases, related equipment and applications expertise to customers in dozens of industries. Find out more.;;;;14506
31936;ajg.com;169;1533;2023-06-27;en;Gallagher;gallagheruk;gallagher.aus;gallagher_australia;arthur-j--gallagher-and-co;gallagherglobal;+1 833 208 9359;;;United States;IL;{finance};Any challenge. Any risk. Anywhere in the world.;2850 Golf Road;Rolling Meadows;60008;
510851725;albertsonscompanies.com;1;0;2023-07-05;en;Albertsons Companies;;;albertsons;albertsons;;+1 877 723 3929;;;US;AZ;{shopping};;;Center;10501;84633
174265;alcoa.com;41;425;2023-05-31;en;Alcoa;alcoa;alcoa;;alcoa;alcoatv;+1 412 315 2900;;;US;PA;{industry};Our vision is to reinvent the aluminum industry for a sustainable future. We’ll realize this vision through the talent of our people and the advancements in our processes and products. We have some of the best operators in the business with leading technologies and game-changing innovations – and the industry’s most comprehensive portfolio of low-carbon products.;;;;14820
2013221;alleghany.com;2;0;2023-05-10;en;Alleghany;;;;alleghany-corporation;;+1 212 752 1356;;;;;{finance};;;;;86
3424;allstate.com;226;7930;2023-07-26;en;Allstate;;;allstate;;;+1 800 255 7828;;;US;IL;{internet_telecom};Get auto insurance quotes at Allstate.com. You're In Good Hands With Allstate. Allstate also offers insurance for your home, motorcycle, RV, as well as financial products such as permanent and term life insurance.;3100 Sanders Road;Northbrook;60062;7572
